Got it! I will analyze the repository at [https://github.com/galacticcouncil/sdk/](https://github.com/galacticcouncil/sdk/) and extract all public methods within the `packages/sdk` directory. The output will include:

- Full method signatures (including class and method name)
- Parameter types and return types
- A concise explanation of what each method does, based on the method logic and code structure
- The results formatted as a Markdown table

I'll notify you once the analysis is complete.

**Public Methods of `@galacticcouncil/sdk`** (in `packages/sdk`):

| Method Signature | Description |
| `PoolService.assets: Asset[]` (getter) | **Property** – The list of on-chain assets cached by the service. Populated by `syncRegistry()`, it reflects the latest fetched asset metadata. If the registry hasn’t been synced yet, this will be an empty array ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=get%20assets%28%29%3A%20Asset%5B%5D%20)). |
| `PoolService.isRegistrySynced: boolean` (getter) | **Property** – Indicates whether the asset registry has been synchronized. Returns `true` if asset metadata has been fetched (i.e., if `assets` is non-empty) ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=)). |
| `PoolService.syncRegistry(external?: ExternalAsset[]): Promise<void>` | Fetches the on-chain asset registry and updates internal state. It retrieves all assets and their metadata from the chain (optionally merging in an array of `external` assets), then feeds this asset list to all underlying pool clients ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=async%20syncRegistry%28external%3F%3A%20ExternalAsset%5B%5D%29%20)). After this call, `assets` will contain the up-to-date on-chain assets. |
| `PoolService.getPools(includeOnly: PoolType[]): Promise<PoolBase[]>` | Returns the list of pools from the chain, optionally filtered by pool type. If the asset registry is not yet synced, it calls `syncRegistry` first ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=async%20getPools%28includeOnly%3A%20PoolType%5B%5D%29%3A%20Promise)). It then queries each specific pool client for its pools: if `includeOnly` is empty, all supported pool types are fetched, otherwise only those matching the types in `includeOnly`. Results from all clients are concatenated into one array ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=const%20pools%20%3D%20await%20Promise)). |
| `PoolService.unsubscribe(): void` | Unsubscribes from any active on-chain listeners. Calls the `unsubscribe()` method of each internal pool client (XYK, Omni, LBP, Stable) to stop their event updates or polling ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=unsubscribe%28%29%20)). This is typically used to clean up subscriptions when the service is no longer needed. |
| `PoolService.getPoolFees(poolPair: PoolPair, pool: Pool): Promise<PoolFees>` | Retrieves the fee structure for a given pool (and specific asset pair within that pool). It dispatches to the appropriate pool client based on the pool’s type: e.g. XYK, Omni, LBP, or StableSwap, and returns that pool’s swap fee info ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=case%20PoolType)) ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=return%20this)). If the pool type is unrecognized, it throws a `PoolNotFound` error. |
| `PoolService.buildBuyTx(assetIn: string, assetOut: string, amountOut: BigNumber, maxAmountIn: BigNumber, route: Hop[]): Transaction` | Constructs an unsigned extrinsic (transaction) to perform an on-chain *buy* trade (spend up to `maxAmountIn` of `assetIn` to buy `amountOut` of `assetOut`). If the trade is a direct Omnipool swap (single hop in the Omnipool), it uses the dedicated `omnipool.buy` extrinsic for efficiency (bypassing the router) ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=%2F%2F%20In%20case%20of%20direct,cheaper%20tx)). Otherwise, it uses the generalized `router.buy` extrinsic with the encoded multihop `route` ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=tx%20%3D%20this)). Returns a `Transaction` object containing the extrinsic’s hex representation and a helper to get the actual `SubmittableExtrinsic` ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=const%20getTx%20%3D%20,)). |
| `PoolService.buildSellTx(assetIn: string, assetOut: string, amountIn: BigNumber, minAmountOut: BigNumber, route: Hop[]): Transaction` | Constructs an unsigned extrinsic to perform an on-chain *sell* trade (sell `amountIn` of `assetIn` for at least `minAmountOut` of `assetOut`). If the trade is a direct one-hop in Omnipool, it calls `omnipool.sell` ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=%2F%2F%20In%20case%20of%20direct,cheaper%20tx)); otherwise it calls `router.sell` with the provided route hops ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=tx%20%3D%20this)). The returned `Transaction` object (with name `RouterSell`) contains the extrinsic data ready for signing/submission ([sdk/packages/sdk/src/pool/PoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolService.ts#:~:text=match%20at%20L919%20return%20,as%20Transaction)). |
| `CachingPoolService.getPoolFees(poolPair: PoolPair, pool: Pool): Promise<PoolFees>` | Provides a cached version of `getPoolFees`. It first computes a cache key from the pool and asset pair. If fees for that key are present in the LRU cache, it returns them immediately; if not, it calls the underlying `PoolService.getPoolFees` to fetch from chain, stores the result in the cache, and then returns it ([sdk/packages/sdk/src/pool/CachingPoolService.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/CachingPoolService.ts#:~:text=async%20getPoolFees,PoolFees%3E)). |
| `PoolFactory.get(pool: PoolBase): Pool` | **Static Method** – Creates a specific pool instance from a generic `PoolBase` description. Depending on `pool.type`, it will instantiate and return an `XykPool`, `OmniPool`, `LbpPool`, or `StableSwap` object initialized with that pool’s data ([sdk/packages/sdk/src/pool/PoolFactory.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolFactory.ts#:~:text=switch%20%28pool.type%29%20)). (If the pool type is not supported, an error is thrown.) |
| `XykPool.fromPool(pool: PoolBase): XykPool` | **Static Method** – Constructs an `XykPool` instance from a generic pool definition. Initializes a new XYK pool object with the pool’s address, tokens, and trading limits (max in/out ratios, min trading amount) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=minTradingLimit%3A%20number%3B)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=pool)). |
| `XykPool.validatePair(tokenIn: string, tokenOut: string): boolean` | Checks if the given token pair can trade in this pool. For XYK pools this always returns `true` (any two tokens in the same XYK pool are swappable) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=validatePair,)). |
| `XykPool.parsePair(tokenIn: string, tokenOut: string): PoolPair` | Looks up the pool’s token metadata for `tokenIn` and `tokenOut` and returns a structured `PoolPair` object containing the balances, decimals, and existential deposits for each, as well as their IDs ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=parsePair,)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=const%20balanceIn%20%3D%20bnum%28tokenInMeta)). Throws an error if either token is not part of this pool. |
| `XykPool.validateAndBuy(poolPair: PoolPair, amountOut: BigNumber, fees: XykPoolFees): BuyTransfer` | Given a desired output amount (`amountOut`) for a buy trade, computes the required input amount and fees in an XYK pool. It uses the constant-product formula to calculate `calculateInGivenOut` (the amount of input needed for the output) then computes the trading fee on that input ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=const%20calculatedIn%20%3D%20this)). The sum (`amountIn = requiredInput + fee`) is returned in a `BuyTransfer` object along with the fee and percentage fee (`feePct`), and any applicable warnings (e.g. if trade volume is below minimum or triggers existential deposit) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=validateAndBuy)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=const%20fee%20%3D%20this)). |
| `XykPool.validateAndSell(poolPair: PoolPair, amountIn: BigNumber, fees: XykPoolFees): SellTransfer` | Given an input amount for a sell trade, computes the resulting output and fees in the pool. It calculates `calculateOutGivenIn` (output for the given input) and the fee on that input, then subtracts the fee to determine the net output. The result is returned as a `SellTransfer` (including fee and any errors if applicable). (Implementation is analogous to `validateAndBuy`, but for sell-side calculations.) |
| `XykPool.calculateInGivenOut(poolPair: PoolPair, amountOut: BigNumber): BigNumber` | Computes how much `assetIn` is required to get `amountOut` of `assetOut` in this XYK pool, using the constant product formula. Internally calls `XykMath.calculateInGivenOut` with the pool’s balances and `amountOut`, and converts the result to a BigNumber. If the formula yields a negative value (insufficient liquidity), it returns 0 instead ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=calculateInGivenOut,)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=)). |
| `XykPool.calculateOutGivenIn(poolPair: PoolPair, amountIn: BigNumber): BigNumber` | Computes how much `assetOut` can be obtained by selling `amountIn` of `assetIn`, using the XYK invariant formula. Internally uses `XykMath.calculateOutGivenIn` with the pool’s balances and `amountIn`, and wraps the result as a BigNumber (returning 0 if the result would be negative) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=calculateOutGivenIn,)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=)). |
| `XykPool.spotPriceInGivenOut(poolPair: PoolPair): BigNumber` | Returns the spot price of `assetIn` in terms of `assetOut` for this pool (price for an infinitesimal buy). It calls `XykMath.calculateSpotPrice(balanceOut, balanceIn)` – essentially the ratio of reserve balances – and scales it by `10^(18 - decimalsOut)` to adjust to a standardized decimal base ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=spotPriceInGivenOut%28poolPair%3A%20PoolPair%29%3A%20BigNumber%20)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=const%20base%20%3D%20scale,decimalsOut)), then converts to BigNumber. |
| `XykPool.spotPriceOutGivenIn(poolPair: PoolPair): BigNumber` | Returns the spot price of `assetOut` in terms of `assetIn` (price for an infinitesimal sell). It uses `XykMath.calculateSpotPrice(balanceIn, balanceOut)` and scales by `10^(18 - decimalsIn)` ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=spotPriceOutGivenIn%28poolPair%3A%20PoolPair%29%3A%20BigNumber%20)) ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=const%20base%20%3D%20scale,decimalsIn)) to get a BigNumber quote. (In an XYK pool, `spotPriceOutGivenIn` is the reciprocal of `spotPriceInGivenOut`, after adjusting for asset decimals.) |
| `XykPool.calculateTradeFee(amount: BigNumber, fees: XykPoolFees): BigNumber` | Calculates the fee amount to charge for a trade of size `amount` in this pool. It uses the pool’s fee rates (numerator/denominator) via `XykMath.calculatePoolTradeFee` ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=calculateTradeFee,)) and returns the result as a BigNumber ([sdk/packages/sdk/src/pool/xyk/XykPool.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykPool.ts#:~:text=)). (For XYK pools, this is typically a simple percentage of the trade amount.) |
| `OmniPool.fromPool(pool: OmniPoolBase): OmniPool` | **Static Method** – Constructs an `OmniPool` instance from base pool data ([sdk/packages/sdk/src/pool/PoolFactory.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolFactory.ts#:~:text=return%20XykPool)). (Omnipool is a specialized multi-asset pool where all assets trade against a common hub asset.) This sets up the pool’s properties including its asset list and trading limits specific to Omnipool. |
| `OmniPool.validatePair(tokenIn: string, tokenOut: string): boolean` | Determines if a given token pair can be traded in the Omnipool. In an Omnipool, any asset can be swapped with any other via the hub asset, so this typically returns `true` for any two distinct tokens in the pool. (Trades might be 1-hop if one token is the hub asset, or 2-hop through the hub otherwise.) |
| `OmniPool.parsePair(tokenIn: string, tokenOut: string): PoolPair` | Prepares a `PoolPair` structure for the given token pair in the Omnipool. Looks up the balances and metadata for `tokenIn` and `tokenOut` in this multi-asset pool, and returns their balances, decimals, etc., packaged in a `PoolPair`. It will throw an error if either asset is not in the Omnipool. |
| `OmniPool.validateAndBuy(poolPair: PoolPair, amountOut: BigNumber, fees: OmniPoolFees): BuyTransfer` | Calculates the required input and fee for a desired `amountOut` in an Omnipool trade. Uses the Omnipool’s pricing formula (which may account for factors like the hub asset’s price impact and any dynamic fees) to determine how much of `assetIn` is needed, then computes the fee. Returns a `BuyTransfer` with the total `amountIn`, fee, and effective fee percentage. (If the trade violates any constraints, relevant error flags will be included in the transfer object.) |
| `OmniPool.validateAndSell(poolPair: PoolPair, amountIn: BigNumber, fees: OmniPoolFees): SellTransfer` | Computes the output and fee for selling `amountIn` of an asset into another via the Omnipool. It applies the Omnipool’s swap formula to find `assetOut` amount for the given input, then applies the pool’s fee. Returns a `SellTransfer` containing the output amount (net of fees) along with the fee and any warnings (e.g. minimal trade or liquidity limits). |
| `OmniPool.calculateInGivenOut(poolPair: PoolPair, amountOut: BigNumber): BigNumber` | Omnipool-specific formula to compute required input for a desired output. Likely considers the two-step route through the hub asset: effectively calculating input->hub and hub->output internally. Returns the BigNumber amount of `assetIn` needed for the `amountOut` of `assetOut`, according to the Omnipool’s invariant. |
| `OmniPool.calculateOutGivenIn(poolPair: PoolPair, amountIn: BigNumber): BigNumber` | Computes the output obtainable in the Omnipool for a given input amount. This uses the pool’s multi-asset pricing model (converting `assetIn` to the hub asset, then to `assetOut`). Returns the BigNumber amount of `assetOut` that would result from swapping `amountIn` of `assetIn`. |
| `OmniPool.spotPriceInGivenOut(poolPair: PoolPair): BigNumber` | Returns the current spot price of `assetIn` in terms of `assetOut` within the Omnipool (for an infinitesimally small buy). Because Omnipool trades go through the hub, this price reflects the ratio of their prices against the hub asset. It’s typically derived from the pool’s reserve ratios and any price adjustment mechanisms of the Omnipool. |
| `OmniPool.spotPriceOutGivenIn(poolPair: PoolPair): BigNumber` | Returns the spot price of `assetOut` in terms of `assetIn` (infinitesimal sell price) in the Omnipool. This is essentially the inverse of the buy-side spot price, accounting for the hub asset conversion. |
| `OmniPool.calculateTradeFee(amount: BigNumber, fees: OmniPoolFees): BigNumber` | Calculates the fee for a trade of size `amount` in the Omnipool. This may include dynamic fees unique to Omnipool (e.g., fees that depend on the pool’s state like a sliding scale). Returns the fee amount as a BigNumber. |
| `LbpPool.fromPool(pool: LbpPoolBase): LbpPool` | **Static Method** – Creates an `LbpPool` (Liquidity Bootstrapping Pool) instance from the given base data ([sdk/packages/sdk/src/pool/PoolFactory.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolFactory.ts#:~:text=return%20XykPool)). It initializes the pool’s token list and parameters such as the initial and final token weights or any fee settings specific to LBP. |
| `LbpPool.validatePair(tokenIn: string, tokenOut: string): boolean` | Checks if `tokenIn` and `tokenOut` can trade in this LBP. (Since an LBP is a two-token pool like XYK, any pair consisting of the two pool tokens should be valid for swap, so this typically returns true as long as the tokens match the pool’s two assets.) |
| `LbpPool.parsePair(tokenIn: string, tokenOut: string): PoolPair` | Returns the `PoolPair` info (balances, decimals, etc.) for the given token pair in the LBP. It ensures the pair matches the pool’s two tokens and fetches their latest balances and metadata, packaging them into a `PoolPair`. |
| `LbpPool.validateAndBuy(poolPair: PoolPair, amountOut: BigNumber, fees: LbpPoolFees): BuyTransfer` | Computes the required input to buy `amountOut` in an LBP, taking into account the pool’s changing weights. Uses the LBP formula (which adjusts the constant product formula by the token weight differential) to find how much `assetIn` is needed and calculates the fee. Returns a `BuyTransfer` with `amountIn` and fee details. If the amount is too large relative to pool reserves or other limits, the transfer object will reflect that (e.g. via error flags). |
| `LbpPool.validateAndSell(poolPair: PoolPair, amountIn: BigNumber, fees: LbpPoolFees): SellTransfer` | Computes the output for selling `amountIn` in the LBP, considering the current token weights. It calculates the `assetOut` using the weighted pricing formula and then applies the pool’s fee. The result is provided as a `SellTransfer` (net output, fee, etc.), with any constraints (like minimum trade size) noted. |
| `LbpPool.calculateInGivenOut(poolPair: PoolPair, amountOut: BigNumber): BigNumber` | Calculates the required input for a desired output in the LBP, using the pool’s current weights and reserves. This function calls the LBP math routine to account for how the weight shift impacts the price, returning the BigNumber input amount needed. |
| `LbpPool.calculateOutGivenIn(poolPair: PoolPair, amountIn: BigNumber): BigNumber` | Calculates the output obtainable for a given input in the LBP, based on the pool’s invariant and token weights at the current moment. Returns the BigNumber amount of `assetOut` corresponding to the `amountIn`. |
| `LbpPool.spotPriceInGivenOut(poolPair: PoolPair): BigNumber` | Returns the instantaneous price of `assetIn` in terms of `assetOut` in the LBP, reflecting the current weights. (As LBPs have time-varying weights, this spot price changes over time; this call gives the price at the current state.) |
| `LbpPool.spotPriceOutGivenIn(poolPair: PoolPair): BigNumber` | Returns the instantaneous price of `assetOut` in terms of `assetIn` for the LBP (the inverse of the above spot price, under current pool conditions). |
| `LbpPool.calculateTradeFee(amount: BigNumber, fees: LbpPoolFees): BigNumber` | Calculates the fee for a trade of size `amount` in the LBP. This typically applies the pool’s set fee percentage to the trade amount (LBP fees are usually a fixed percentage like in XYK). Returns the fee as a BigNumber. |
| `StableSwap.fromPool(pool: StableSwapBase): StableSwap` | **Static Method** – Initializes a `StableSwap` pool instance from base data ([sdk/packages/sdk/src/pool/PoolFactory.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/PoolFactory.ts#:~:text=return%20XykPool)). A StableSwap pool contains typically multiple assets with an amplification parameter; this method sets up the pool’s properties (tokens, AMP factor, etc.) for stable swap calculations. |
